[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\rh\feriados\form.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\rh\folha_salarial\calcular.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\rh\folha_salarial\canhoto.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\rh\folha_salarial\delete.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\rh\folha_salarial\detail.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\rh\folha_salarial\edit.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\rh\folha_salarial\form.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\rh\folha_salarial\marcar_paga.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\rh\folha_salarial\pdf_template.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\rh\folha_salarial\preview.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\rh\folha_salarial\reabrir.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\rh\folha_salarial\validar_fechamento.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\rh\funcionarios\delete.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\rh\funcionarios\detail.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\rh\funcionarios\form.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\rh\presencas\calendario.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\rh\presencas\calendario_debug.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\rh\presencas\calendario_minimal.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\rh\presencas\calendario_teste.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\rh\presencas\delete.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\rh\presencas\detail.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\rh\presencas\detalhes_mes.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\rh\presencas\form.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\rh\presencas\horas_extras_editar.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\rh\presencas\horas_extras_editar_novo.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\rh\presencas\horas_extras_editar_old.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\rh\presencas\horas_extras_excluir.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\rh\presencas\horas_extras_form.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\rh\presencas\horas_extras_form_novo.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\rh\presencas\horas_extras_form_old.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\rh\presencas\tipos.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\rh\presencas\tipo_delete.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\rh\presencas\tipo_form.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\rh\promocoes\aprovar.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\rh\promocoes\delete.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\rh\promocoes\detail.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\rh\promocoes\form.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\rh\promocoes\implementar.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\rh\promocoes\rejeitar.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\rh\relatorios\avaliacoes_documento.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\rh\relatorios\feriados_documento.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\rh\relatorios\funcionarios_documento.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\rh\relatorios\horas_extras_documento.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\rh\relatorios\pdf_template.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\rh\relatorios\presencas_documento.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\rh\relatorios\salarios_documento.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\rh\relatorios\treinamentos_documento.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\rh\salarios\delete.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\rh\salarios\detail.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\rh\salarios\form.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\rh\transferencias\approve.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\rh\transferencias\delete.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\rh\transferencias\detail.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\rh\transferencias\efetivar.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\rh\transferencias\form.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\rh\transferencias\implement.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\rh\transferencias\reject.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\rh\transferencias\relatorio.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\rh\treinamentos\avaliar.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\rh\treinamentos\deletar_inscricao.html
